filename,table-based without partitions,table-based with partitions,tag-based without partitions,tag-based with partitions
5_20_5_5_3_7,54,53,42,38
5_21_5_5_3_7,89,92,90,66
5_22_5_5_3_7,64,191,63,82
5_23_5_5_3_7,228,230,356,365
5_24_5_6_3_7,79,90,62,56
5_25_5_6_3_7,157,186,197,148
5_26_5_6_3_7,808,802,947,496
5_27_5_6_3_7,927,949,763,325
5_28_5_7_3_7,2078,1129,1402,878
5_29_5_7_3_7,12665,5208,8815,9687
5_30_5_7_3_7,N/A,32910,N/A,N/A
5_31_5_7_3_7,N/A,12892,N/A,N/A
5_32_5_8_3_7,580,483,690,399
5_33_5_8_3_7,N/A,N/A,N/A,N/A
5_34_5_8_3_7,16800,23324,23168,14713
5_35_5_8_3_7,6635,10981,9929,3861
6_20_6_5_3_7,217,165,231,150
6_21_6_5_3_7,109,89,90,100
6_22_6_5_3_7,164,183,126,138
6_23_6_5_3_7,348,253,299,269
6_24_6_6_3_7,189,163,160,143
6_25_6_6_3_7,1766,989,1483,779
6_26_6_6_3_7,939,740,845,777
6_27_6_6_3_7,6622,3411,6987,1851
6_28_6_7_3_7,3313,2006,3588,1276
6_29_6_7_3_7,3513,2118,3309,1130
6_30_6_7_3_7,N/A,38641,N/A,N/A
6_31_6_7_3_7,N/A,28954,N/A,46460
6_32_6_8_3_7,32358,28251,N/A,40666
6_33_6_8_3_7,N/A,50202,N/A,N/A
6_34_6_8_3_7,10889,6633,8601,3857
6_35_6_8_3_7,N/A,N/A,N/A,N/A
7_20_7_5_3_7,536,304,622,363
7_21_7_5_3_7,712,329,367,392
7_22_7_5_3_7,350,402,406,283
7_23_7_5_3_7,1524,518,1976,1743
7_24_7_6_3_7,484,398,563,293
7_25_7_6_3_7,393,477,424,445
7_26_7_6_3_7,1339,842,1072,1107
7_27_7_6_3_7,634,313,588,455
7_28_7_7_3_7,7866,5565,9122,4605
7_29_7_7_3_7,17838,6883,17262,6175
7_30_7_7_3_7,10744,8379,7951,6158
7_31_7_7_3_7,N/A,N/A,N/A,N/A
7_32_7_8_3_7,12647,9936,15651,4241
7_33_7_8_3_7,N/A,N/A,N/A,N/A
7_34_7_8_3_7,N/A,29213,N/A,39696
7_35_7_8_3_7,N/A,N/A,N/A,N/A
8_20_8_5_3_7,141,140,154,116
8_21_8_5_3_7,273,181,179,98
8_22_8_5_3_7,755,453,815,412
8_23_8_5_3_7,493,265,445,179
8_24_8_6_3_7,1189,614,1021,414
8_25_8_6_3_7,1654,787,1246,543
8_26_8_6_3_7,367,243,343,198
8_27_8_6_3_7,2361,3057,3706,1817
8_28_8_7_3_7,3113,1879,3107,1838
8_29_8_7_3_7,N/A,16999,55641,19561
8_30_8_7_3_7,7178,7024,6704,4434
8_31_8_7_3_7,35721,19720,41090,34887
8_32_8_8_3_7,N/A,N/A,N/A,N/A
8_33_8_8_3_7,N/A,N/A,N/A,N/A
8_34_8_8_3_7,N/A,N/A,N/A,N/A
8_35_8_8_3_7,N/A,N/A,N/A,N/A
9_20_9_5_3_7,153,126,104,113
