problem,auto_part_trans,auto_part_solve,auto_part_result
34_20_6_3_3_2,11947,25389,SAT
34_20_6_3_3_2,12393,26752,SAT
34_20_6_3_3_2,12016,26091,SAT
34_20_6_3_3_2,12651,26013,SAT
34_20_6_3_3_2,11756,25452,SAT
42_20_6_3_3_2,18771,37361,SAT
42_20_6_3_3_2,17287,38418,SAT
42_20_6_3_3_2,18429,37019,SAT
42_20_6_3_3_2,19239,37799,SAT
42_20_6_3_3_2,18736,37472,SAT
46_20_6_3_3_2,22078,228200,SAT
46_20_6_3_3_2,21843,233417,SAT
46_20_6_3_3_2,21768,233679,SAT
46_20_6_3_3_2,22277,229748,SAT
46_20_6_3_3_2,21883,227586,SAT
52_20_6_3_3_2,30033,236364,SAT
52_20_6_3_3_2,28989,238128,SAT
52_20_6_3_3_2,27953,236921,SAT
52_20_6_3_3_2,28648,235519,SAT
52_20_6_3_3_2,29358,233645,SAT
50_20_6_3_3_2,25399,336784,SAT
50_20_6_3_3_2,27269,333321,SAT
50_20_6_3_3_2,24976,334039,SAT
50_20_6_3_3_2,27727,345878,SAT
50_20_6_3_3_2,28018,343529,SAT
38_20_6_3_3_2,14916,36511,SAT
38_20_6_3_3_2,15831,35503,SAT
38_20_6_3_3_2,15474,35982,SAT
38_20_6_3_3_2,15439,35966,SAT
38_20_6_3_3_2,15270,35870,SAT
