problem,sat_trans,sat_solve,#inst
34_20_6_3_3_2,12035,N/A,31119
34_20_6_3_3_2,13667,N/A,29007
34_20_6_3_3_2,12984,N/A,29693
34_20_6_3_3_2,11891,N/A,30801
34_20_6_3_3_2,13082,N/A,32394
42_20_6_3_3_2,19961,N/A,19446
42_20_6_3_3_2,20573,N/A,18078
42_20_6_3_3_2,23909,N/A,17979
42_20_6_3_3_2,23355,N/A,17241
42_20_6_3_3_2,25283,N/A,17847
46_20_6_3_3_2,28149,N/A,16133
46_20_6_3_3_2,26741,N/A,16686
46_20_6_3_3_2,29673,N/A,15893
46_20_6_3_3_2,24556,N/A,19031
46_20_6_3_3_2,26187,N/A,18714
52_20_6_3_3_2,30383,N/A,13686
52_20_6_3_3_2,32688,N/A,13499
52_20_6_3_3_2,36472,N/A,13468
52_20_6_3_3_2,33281,N/A,13439
52_20_6_3_3_2,35034,N/A,13808
50_20_6_3_3_2,30084,N/A,14657
50_20_6_3_3_2,30138,N/A,14829
50_20_6_3_3_2,30440,N/A,18021
50_20_6_3_3_2,24018,N/A,18366
50_20_6_3_3_2,24068,N/A,18428
38_20_6_3_3_2,13560,N/A,29919
38_20_6_3_3_2,14261,N/A,29884
38_20_6_3_3_2,14115,N/A,30070
38_20_6_3_3_2,13421,N/A,29878
38_20_6_3_3_2,13489,N/A,29923
