problem,maxsat_trans,maxsat_total,maxsat_result,maxsat_part_trans,maxsat_part_total,maxsat_part_result,sat_trans,sat_total,#inst
flush_reload,8964,126827,SAT,7922,118508,SAT,8742,91819,32
flush_reload,7673,119609,SAT,8087,118026,SAT,8902,86045,32
flush_reload,7810,114221,SAT,8130,114360,SAT,8205,85921,32
flush_reload,7872,115570,SAT,8265,112999,SAT,8443,85532,32
flush_reload,7874,116540,SAT,8269,112112,SAT,8489,85759,32
meltdown,16653,345174,SAT,17962,363372,SAT,19324,843106,706
meltdown,17605,390596,SAT,17919,361707,SAT,20394,836475,706
meltdown,17793,383947,SAT,18110,361207,SAT,19114,824911,706
meltdown,18634,399976,SAT,18557,383092,SAT,19670,830463,706
meltdown,18103,399697,SAT,18932,363525,SAT,15941,647986,706
spectre,28611,807640,SAT,28844,531930,SAT,27936,1211802,1412
spectre,27634,833924,SAT,28855,544118,SAT,30459,1217285,1412
spectre,27630,809469,SAT,29854,559761,SAT,29068,1245049,1412
spectre,28240,813139,SAT,30273,567563,SAT,28960,1239498,1412
spectre,28918,779459,SAT,29742,566738,SAT,28501,1245847,1412
