problem,maxsat_trans,maxsat_total,maxsat_result,maxsat_part_trans,maxsat_part_total,maxsat_part_result,sat_trans,sat_total,#inst
12_22_3_6,27815,27969,SAT,27995,28158,SAT,N/A,N/A,441164
12_22_3_6,27208,27353,SAT,27695,27836,SAT,N/A,N/A,443902
12_22_3_6,26628,26823,SAT,27104,27275,SAT,N/A,N/A,455676
12_22_3_6,27395,27544,SAT,26972,27131,SAT,N/A,N/A,453015
12_22_3_6,26593,26724,SAT,26656,26818,SAT,N/A,N/A,451628
14_24_3_6,41286,41464,SAT,44925,45139,SAT,N/A,N/A,293629
14_24_3_6,41581,41753,SAT,41754,41933,SAT,N/A,N/A,284440
14_24_3_6,41882,42074,SAT,41547,41733,SAT,N/A,N/A,313086
14_24_3_6,43789,43986,SAT,43257,43422,SAT,N/A,N/A,254249
14_24_3_6,42546,42732,SAT,43109,43326,SAT,N/A,N/A,310651
16_26_3_6,63333,63625,SAT,63805,64063,SAT,N/A,N/A,183143
16_26_3_6,63872,64165,SAT,64772,65038,SAT,N/A,N/A,197411
16_26_3_6,64516,64811,SAT,64623,64860,SAT,N/A,N/A,186199
16_26_3_6,64979,65265,SAT,64488,64717,SAT,N/A,N/A,199715
16_26_3_6,62955,63247,SAT,64912,65219,SAT,N/A,N/A,177846
18_28_3_6,95030,95363,SAT,94971,95235,SAT,N/A,N/A,144601
18_28_3_6,94237,94577,SAT,92764,93005,SAT,N/A,N/A,131892
18_28_3_6,95694,96087,SAT,96946,97260,SAT,N/A,N/A,131087
18_28_3_6,93669,93985,SAT,94476,94787,SAT,N/A,N/A,137830
18_28_3_6,93099,93390,SAT,93220,93498,SAT,N/A,N/A,130555
