problem,maxsat_trans,maxsat_solve,maxsat_result,part_trans,part_solve,part_result
80_90_3_6,115576,197010,SAT,107567,2100,SAT
80_90_3_6,159173,182244,SAT,125610,2118,SAT
80_90_3_6,133427,178386,SAT,125658,2111,SAT
80_90_3_6,124188,180471,SAT,120211,2100,SAT
80_90_3_6,122556,181371,SAT,132725,2032,SAT
70_80_3_6,100284,76222,SAT,97322,1494,SAT
70_80_3_6,90131,77096,SAT,88229,1621,SAT
70_80_3_6,92225,77963,SAT,90806,1350,SAT
70_80_3_6,104972,78528,SAT,121812,1476,SAT
70_80_3_6,83262,82099,SAT,86151,1406,SAT
60_70_3_6,53884,37229,SAT,50512,913,SAT
60_70_3_6,52360,34563,SAT,51807,896,SAT
60_70_3_6,54405,37664,SAT,56163,914,SAT
60_70_3_6,49117,36511,SAT,49381,895,SAT
60_70_3_6,50613,36195,SAT,56511,861,SAT
40_50_3_6,17086,4550,SAT,19243,304,SAT
40_50_3_6,16258,4469,SAT,17716,301,SAT
40_50_3_6,17271,4522,SAT,17084,299,SAT
40_50_3_6,17315,4531,SAT,17555,303,SAT
40_50_3_6,16703,4406,SAT,16667,360,SAT
30_40_3_6,8314,1051,SAT,8077,162,SAT
30_40_3_6,8123,1068,SAT,9035,164,SAT
30_40_3_6,8017,1088,SAT,8273,163,SAT
30_40_3_6,8228,1086,SAT,7778,172,SAT
30_40_3_6,8762,1098,SAT,8777,175,SAT
90_100_3_6,203532,286820,SAT,190715,2899,SAT
90_100_3_6,200910,307934,SAT,180529,3135,SAT
90_100_3_6,218195,302404,SAT,220439,3203,SAT
90_100_3_6,200940,313853,SAT,218643,3272,SAT
90_100_3_6,272917,306036,SAT,158925,2935,SAT
50_60_3_6,34751,14856,SAT,30999,576,SAT
50_60_3_6,33242,15143,SAT,35494,622,SAT
50_60_3_6,34839,15077,SAT,30313,648,SAT
50_60_3_6,38700,14815,SAT,40507,637,SAT
50_60_3_6,30712,15003,SAT,31508,640,SAT
