problem,auto_part_trans,auto_part_solve,auto_part_result
80_90_3_6,110698,3926,SAT
80_90_3_6,108391,3608,SAT
80_90_3_6,111014,2987,SAT
80_90_3_6,119017,2962,SAT
80_90_3_6,114844,2939,SAT
70_80_3_6,88279,1864,SAT
70_80_3_6,90295,1912,SAT
70_80_3_6,85993,1914,SAT
70_80_3_6,88972,1933,SAT
70_80_3_6,90872,1878,SAT
60_70_3_6,47026,1129,SAT
60_70_3_6,49393,1160,SAT
60_70_3_6,48665,1194,SAT
60_70_3_6,53079,1145,SAT
60_70_3_6,51767,1151,SAT
40_50_3_6,16378,392,SAT
40_50_3_6,16942,401,SAT
40_50_3_6,17034,409,SAT
40_50_3_6,17216,380,SAT
40_50_3_6,16776,404,SAT
30_40_3_6,7780,188,SAT
30_40_3_6,7957,192,SAT
30_40_3_6,7365,184,SAT
30_40_3_6,8154,182,SAT
30_40_3_6,8074,182,SAT
90_100_3_6,181313,4629,SAT
90_100_3_6,195359,4773,SAT
90_100_3_6,178123,4806,SAT
90_100_3_6,190762,4842,SAT
90_100_3_6,189384,4690,SAT
50_60_3_6,30047,746,SAT
50_60_3_6,38511,778,SAT
50_60_3_6,31654,773,SAT
50_60_3_6,32007,771,SAT
50_60_3_6,30885,776,SAT
