problem,part_trans,part_solve,part_result,auto_part_trans,auto_part_solve,auto_part_result
10_2_1,796,275,SAT,867,758,SAT
10_2_1,835,272,SAT,874,766,SAT
10_2_1,896,287,SAT,856,777,SAT
10_2_1,840,275,SAT,822,762,SAT
10_2_1,839,276,SAT,863,763,SAT
26_2_1,53048,27662,SAT,52148,42124,SAT
26_2_1,52342,27426,SAT,51349,42013,SAT
26_2_1,52325,27532,SAT,50615,41222,SAT
26_2_1,52691,29041,SAT,51130,41748,SAT
26_2_1,52793,27128,SAT,51238,42634,SAT
20_3_1,16507,N/A,N/A,15783,1380660,SAT
20_3_1,16233,N/A,N/A,14443,1415173,SAT
20_3_1,,N/A,N/A,14113,1412783,SAT
20_3_1,,N/A,N/A,17384,1444910,SAT
20_3_1,,N/A,N/A,15811,1384762,SAT
26_2_2,94724,906362,SAT,92393,1591336,SAT
26_2_2,95560,889844,SAT,91560,1598396,SAT
26_2_2,95526,925110,SAT,92695,1594722,SAT
26_2_2,92800,894365,SAT,95214,1649755,SAT
26_2_2,94293,877842,SAT,92364,1624897,SAT
