problem,table_trans,table_total,table_result,table_part_trans,table_part_total,table_part_result,tag_trans,tag_total,table_result,tag_part_trans,tag_part_total,table_part_result,sat_trans,sat_total,#inst
7_28_7_6_3_7,235,14539,SAT,238,5599,SAT,202,11438,SAT,237,7333,SAT,N/A,N/A,1052925
7_28_7_6_3_7,226,13044,SAT,239,5354,SAT,252,11093,SAT,246,6472,SAT,N/A,N/A,1039324
7_28_7_6_3_7,237,12749,SAT,240,5261,SAT,231,11125,SAT,239,6369,SAT,N/A,N/A,1030332
7_28_7_6_3_7,264,13181,SAT,254,6023,SAT,307,12840,SAT,282,7435,SAT,N/A,N/A,1021278
7_28_7_6_3_7,297,14912,SAT,311,6050,SAT,277,12384,SAT,307,8021,SAT,N/A,N/A,1021564
7_30_7_6_3_7,265,17710,SAT,197,8625,SAT,243,18043,SAT,262,6921,SAT,N/A,N/A,1017876
7_30_7_6_3_7,241,17539,SAT,229,8132,SAT,238,17978,SAT,247,6579,SAT,N/A,N/A,1027029
7_30_7_6_3_7,216,17780,SAT,227,8018,SAT,232,18072,SAT,236,6528,SAT,N/A,N/A,1008778
7_30_7_6_3_7,288,20542,SAT,291,9469,SAT,280,21446,SAT,300,7349,SAT,N/A,N/A,944323
7_30_7_6_3_7,238,19978,SAT,324,8960,SAT,303,20094,SAT,300,7546,SAT,N/A,N/A,927670
8_30_8_7_3_7,316,51123,SAT,361,10540,SAT,344,26638,SAT,345,12729,SAT,N/A,N/A,862727
8_30_8_7_3_7,273,49002,SAT,265,9470,SAT,296,24253,SAT,263,12007,SAT,N/A,N/A,928882
8_30_8_7_3_7,349,48300,SAT,316,10156,SAT,367,25600,SAT,283,12800,SAT,N/A,N/A,891609
8_30_8_7_3_7,321,48666,SAT,351,10632,SAT,285,25857,SAT,298,12357,SAT,N/A,N/A,894678
8_30_8_7_3_7,281,45590,SAT,309,9631,SAT,296,24040,SAT,290,11509,SAT,N/A,N/A,875805
8_32_8_7_3_7,293,17944,SAT,294,12361,SAT,289,16486,SAT,279,8278,SAT,N/A,N/A,848010
8_32_8_7_3_7,213,14138,SAT,212,9901,SAT,208,13048,SAT,210,6807,SAT,N/A,N/A,998920
8_32_8_7_3_7,210,13992,SAT,208,9725,SAT,204,12859,SAT,212,6748,SAT,N/A,N/A,987031
8_32_8_7_3_7,202,13965,SAT,209,9802,SAT,205,12929,SAT,206,6837,SAT,N/A,N/A,1002756
8_32_8_7_3_7,214,16291,SAT,328,11522,SAT,532,14022,SAT,216,6689,SAT,N/A,N/A,961182
9_34_9_8_3_7,N/A,N/A,N/A,307,380040,SAT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,866757
9_34_9_8_3_7,N/A,N/A,N/A,250,330203,SAT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,722239
9_34_9_8_3_7,N/A,N/A,N/A,312,369745,SAT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,863601
9_34_9_8_3_7,N/A,N/A,N/A,270,332872,SAT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,860706
9_34_9_8_3_7,N/A,N/A,N/A,265,326069,SAT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,843850
