problem,maxsat_trans,maxsat_solve,maxsat_result,part_trans,part_solve,part_result
7_30_7_6_3_7,223,968,SAT,251,665,SAT
7_30_7_6_3_7,234,941,SAT,253,650,SAT
7_30_7_6_3_7,244,905,SAT,189,648,SAT
7_30_7_6_3_7,242,933,SAT,216,647,SAT
7_30_7_6_3_7,228,920,SAT,210,641,SAT
8_32_8_7_3_7,246,799508,SAT,298,352226,SAT
8_32_8_7_3_7,294,825597,SAT,315,356559,SAT
8_32_8_7_3_7,279,828300,SAT,283,345115,SAT
8_32_8_7_3_7,277,829989,SAT,298,360261,SAT
8_32_8_7_3_7,314,810778,SAT,270,331860,SAT
7_28_7_6_3_7,193,4932,SAT,180,1782,SAT
7_28_7_6_3_7,231,5038,SAT,184,1776,SAT
7_28_7_6_3_7,207,5046,SAT,214,1739,SAT
7_28_7_6_3_7,187,5004,SAT,210,1757,SAT
7_28_7_6_3_7,205,4977,SAT,220,1746,SAT
8_30_8_7_3_7,236,465202,SAT,226,35797,SAT
8_30_8_7_3_7,231,460020,SAT,254,35555,SAT
8_30_8_7_3_7,253,456979,SAT,238,34833,SAT
8_30_8_7_3_7,236,451162,SAT,224,35621,SAT
8_30_8_7_3_7,227,453393,SAT,249,34990,SAT
