problem,maxsat_trans,maxsat_solve,maxsat_result,part_trans,part_solve,part_result
7_30_7_6_3_7,206,1311,SAT,196,580,SAT
7_30_7_6_3_7,201,1282,SAT,204,577,SAT
7_30_7_6_3_7,195,1309,SAT,218,584,SAT
7_30_7_6_3_7,205,1319,SAT,207,576,SAT
7_30_7_6_3_7,200,1378,SAT,200,575,SAT
8_32_8_7_3_7,263,1189330,SAT,259,1617419,SAT
8_32_8_7_3_7,269,1180283,SAT,264,1605504,SAT
8_32_8_7_3_7,226,1191734,SAT,233,1618841,SAT
8_32_8_7_3_7,234,1174499,SAT,228,1605047,SAT
8_32_8_7_3_7,254,1187322,SAT,258,1623263,SAT
7_28_7_6_3_7,209,4071,SAT,184,2669,SAT
7_28_7_6_3_7,227,4158,SAT,189,2607,SAT
7_28_7_6_3_7,176,4134,SAT,185,2587,SAT
7_28_7_6_3_7,205,4069,SAT,204,2679,SAT
7_28_7_6_3_7,203,4081,SAT,208,2685,SAT
8_30_8_7_3_7,253,373375,SAT,236,110061,SAT
8_30_8_7_3_7,235,379232,SAT,268,115369,SAT
8_30_8_7_3_7,254,394452,SAT,228,105583,SAT
8_30_8_7_3_7,246,363078,SAT,218,105948,SAT
8_30_8_7_3_7,221,362789,SAT,241,113268,SAT
