problem,all_opt_trans,all_opt_solve,#opt_inst
7_30_7_6_3_7,202,2257,10
7_30_7_6_3_7,195,2244,10
7_30_7_6_3_7,201,2300,10
7_30_7_6_3_7,215,2332,10
7_30_7_6_3_7,205,2282,10
8_32_8_7_3_7,254,N/A,N/A
8_32_8_7_3_7,228,N/A,N/A
8_32_8_7_3_7,236,N/A,N/A
8_32_8_7_3_7,256,N/A,N/A
8_32_8_7_3_7,227,N/A,N/A
7_28_7_6_3_7,203,6290,6
7_28_7_6_3_7,194,6354,6
7_28_7_6_3_7,199,6489,6
7_28_7_6_3_7,204,6378,6
7_28_7_6_3_7,203,6419,6
8_30_8_7_3_7,214,648096,17
8_30_8_7_3_7,217,653357,17
8_30_8_7_3_7,241,633772,17
8_30_8_7_3_7,267,641547,17
8_30_8_7_3_7,216,645779,17
