problem,auto_part_trans,auto_part_solve,auto_part_result
7_30_7_6_3_7,218,828,SAT
7_30_7_6_3_7,242,858,SAT
7_30_7_6_3_7,289,970,SAT
7_30_7_6_3_7,284,913,SAT
7_30_7_6_3_7,317,951,SAT
8_32_8_7_3_7,373,731674,SAT
8_32_8_7_3_7,347,721401,SAT
8_32_8_7_3_7,315,723664,SAT
8_32_8_7_3_7,298,684639,SAT
8_32_8_7_3_7,333,705228,SAT
7_28_7_6_3_7,281,4941,SAT
7_28_7_6_3_7,240,4818,SAT
7_28_7_6_3_7,270,4701,SAT
7_28_7_6_3_7,223,4975,SAT
7_28_7_6_3_7,253,4819,SAT
8_30_8_7_3_7,269,167884,SAT
8_30_8_7_3_7,245,165406,SAT
8_30_8_7_3_7,246,140344,SAT
8_30_8_7_3_7,244,137379,SAT
8_30_8_7_3_7,264,140632,SAT
